"pair","endpoint_i","endpoint_j","metric","target","fitted","weight","error","abs_error"
"D1_D2",1,2,"harrell_c_to_tau",-0.2211,-0.221088804928725,1,1.1195071274811e-05,1.1195071274811e-05
"D1_D3",1,3,"harrell_c_to_tau",0.5173,0.517302255485974,1,2.25548597387881e-06,2.25548597387881e-06
"D2_D3",2,3,"kendall_tau_b",-0.1032,-0.103199186667159,1,8.13332840854386e-07,8.13332840854386e-07
