"rho","Observed_Tau","B_final","MC_Status","MC_Elapsed_Sec","MC_Memory_Max_MB","MC_Max_SE_Tau","MC_Max_SE_Xi","Overall_Win_Prob","SE_Overall_Win_Prob","Overall_Loss_Prob","SE_Overall_Loss_Prob","Overall_Tie_Prob","Overall_Net_Benefit","Overall_Win_Ratio","Overall_Win_Odds","Overall_DOOR","Marginal_Win_Prob_E1","SE_Marginal_Win_Prob_E1","Marginal_Loss_Prob_E1","SE_Marginal_Loss_Prob_E1","Conditional_Win_Prob_E2","SE_Conditional_Win_Prob_E2","Conditional_Loss_Prob_E2","SE_Conditional_Loss_Prob_E2","Fixed_SS_from_WR_at_rho0","Theo_Power_NB","Theo_Power_WR","Theo_Power_WO","Theo_Power_DOOR","Emp_Power_NB","Emp_Power_WR","Emp_Power_WO","Emp_Power_DOOR","Type_I_Error_NB","Type_I_Error_WR","Type_I_Error_WO","Type_I_Error_DOOR"
0,-0.0001201137195302,200,"CONVERGED",599.015,180.3,0.000659476376536181,9.14802559536728e-05,0.4550482571875,0.000283103585470893,0.315894021796875,0.00024834471101965,0.229057721015625,0.139154235390625,1.44050923977315,1.32329655580932,0.569577117695312,0.336271472578125,0.000271722849299122,0.239482612421875,0.000238063985680479,0.118776784609375,0.000146356212117315,0.076411409375,0.000117309331360025,266,0.860707995221144,0.850834983939783,0.860392889154577,0.860707995221144,0.8609,0.8585,0.8588,0.8609,0.0527,0.0519,0.052,0.0527
0.2,0.126590798380848,200,"CONVERGED",554.747,144.5,0.000633413164808304,9.11470854986268e-05,0.450941237421875,0.000278092396040986,0.316995953359375,0.000248807054113639,0.23206280921875,0.1339452840625,1.4225457222498,1.30932291366257,0.56697264203125,0.336271472578125,0.000271722849299122,0.239482612421875,0.000238063985680479,0.11466976484375,0.00014210739739737,0.0775133409375,0.000117991882120866,266,0.830007607712528,0.819490506353101,0.830066396761126,0.830007607712528,0.8287,0.8264,0.8265,0.8287,0.0534,0.0522,0.0524,0.0534
0.4,0.255333592615198,200,"CONVERGED",568.813,141.8,0.000614059591519839,9.27725348181748e-05,0.4443244028125,0.00027991937270164,0.315267225625,0.000250893346529376,0.2404083715625,0.1290571771875,1.40935805151218,1.29636199715325,0.56452858859375,0.336271472578125,0.000271722849299122,0.239482612421875,0.000238063985680479,0.108052930234375,0.00013781516530119,0.075784613203125,0.000119355889917895,266,0.79921836822212,0.788119081322222,0.799637497977774,0.79921836822212,0.7976,0.7943,0.7947,0.7976,0.0521,0.0504,0.0506,0.0521
0.6,0.389585945822281,200,"CONVERGED",590.785,141.8,0.000478329043963953,9.6724832982774e-05,0.434133418125,0.000284763163241108,0.3097842296875,0.000254158136278322,0.2560823521875,0.1243491884375,1.40140580610878,1.28401547008359,0.56217459421875,0.336271472578125,0.000271722849299122,0.239482612421875,0.000238063985680479,0.097861945546875,0.00013916250388061,0.0703016172656249,0.000119244007339635,266,0.768909026826712,0.757425600904236,0.769654064712697,0.768909026826712,0.7649,0.7611,0.7615,0.7649,0.0522,0.0509,0.0512,0.0522
0.8,0.532461297238391,250,"CONVERGED",724.591,141.8,0.000313786320761502,9.23550151495832e-05,0.4174356405625,0.0002600731084154,0.2979881815,0.00022858993122621,0.2845761779375,0.1194474590625,1.4008462968606,1.27130115128696,0.55972372953125,0.336098788875,0.000242145696972046,0.239627426,0.000214186254134904,0.0813368516874999,0.000123418362442722,0.0583607555,0.000100083603609597,266,0.739260865351256,0.727783837182306,0.74028289144605,0.739260865351256,0.7379,0.7346,0.7346,0.7379,0.0542,0.0529,0.0534,0.0542
