"Scenario","rho","B_final_8000","Time_min_8000","WorkerMax_GB_8000","WorkerSum_GB_8000","MaxSE_Tau_8000","Status_8000","B_final_2000","Time_min_2000","WorkerMax_GB_2000","WorkerSum_GB_2000","MaxSE_Tau_2000","Status_2000"
"S1: Cont + Cont",0,250,12.3,7.79599609375,155.919921875,0.000468,"CONVERGED",900,6.48066666666667,0.79892578125,14.98154296875,0.000493563795915012,"CONVERGED"
"S2: Cont + Bin",0,350,17.37,7.79658203125,155.931640625,5e-04,"CONVERGED",1350,7.49503333333333,0.804296875,15.22001953125,0.000499991410642883,"CONVERGED"
"S3: Surv + Cont",0,850,45.5917666666667,8.74921875,165.4521484375,0.000489415644189629,"CONVERGED",3000,14.27385,0.9099609375,17.25224609375,0.00051902136006625,"B_MAX_REACHED"
"S4: Bin + Cont",0,350,17.7774666666667,7.79521484375,151.14453125,0.000476250497374154,"CONVERGED",1400,6.41078333333333,0.81103515625,15.83681640625,0.000489259573990548,"CONVERGED"
