"rho","Observed_Tau","B_final","MC_Status","MC_Elapsed_Sec","MC_Master_Memory_Max_MB","MC_Worker_Memory_Max_MB","MC_Worker_Memory_Sum_Max_MB","MC_Max_SE_Tau","MC_Max_SE_Xi","Overall_Win_Prob","SE_Overall_Win_Prob","Overall_Loss_Prob","SE_Overall_Loss_Prob","Overall_Tie_Prob","Overall_Net_Benefit","Overall_Win_Ratio","Overall_Win_Odds","Overall_DOOR","Marginal_Win_Prob_E1","SE_Marginal_Win_Prob_E1","Marginal_Loss_Prob_E1","SE_Marginal_Loss_Prob_E1","Conditional_Win_Prob_E2","SE_Conditional_Win_Prob_E2","Conditional_Loss_Prob_E2","SE_Conditional_Loss_Prob_E2","Fixed_SS_from_WR_at_rho0","Theo_Power_NB","Theo_Power_WR","Theo_Power_WO","Theo_Power_DOOR","Emp_Power_NB","Emp_Power_WR","Emp_Power_WO","Emp_Power_DOOR","Type_I_Error_NB","Type_I_Error_WR","Type_I_Error_WO","Type_I_Error_DOOR"
0,-0.000313535025211485,150,"CONVERGED",1056.801,181.2,7976.1,127593,0.000586837653656383,9.02158307929151e-05,0.522653335520834,0.000325094697706632,0.393677242916667,0.00032005596851656,0.0836694215624995,0.128976092604167,1.327618867803,1.29614822626345,0.564488046302083,0.327385187604167,0.000297536258291867,0.282210558541667,0.000285063410112865,0.195268147916667,0.000182710996493792,0.111466684375,0.000151703379680215,328,0.84934207509883,0.851015679101236,0.849212349385914,0.849342075098831,0.8527,0.8499,0.8501,0.8527,0.0508,0.0503,0.0503,0.0508
0.2,0.128038896945451,150,"CONVERGED",1059.608,146.1,7976.1,127592.7,0.000584756639138825,9.12326403252152e-05,0.520798691875,0.000326775198306179,0.393854375104167,0.000321763563786574,0.0853469330208335,0.126944316770833,1.32231282625021,1.29080462840882,0.563472158385417,0.327385187604167,0.000297536258291867,0.282210558541667,0.000285063410112865,0.193413504270833,0.000182171846182818,0.1116438165625,0.000151759632436579,328,0.834193817162853,0.836252695629507,0.834226286085239,0.834193817162853,0.8388,0.8368,0.837,0.8388,0.051,0.0501,0.05,0.051
0.4,0.262052926199108,150,"CONVERGED",1061.147,143.4,7976.1,127595.2,0.000561711037094405,9.25849914834789e-05,0.518717063854166,0.000328324456652141,0.3909199625,0.000322713947802225,0.0903629736458336,0.127797101354167,1.32691372560481,1.29304443163989,0.563898550677083,0.327385187604167,0.000297536258291867,0.282210558541667,0.000285063410112865,0.19133187625,0.000181104363303741,0.108709403958333,0.000149544348603415,328,0.835908120845809,0.83796079167556,0.835920256168736,0.835908120845809,0.8404,0.8382,0.8383,0.8404,0.0514,0.0502,0.0502,0.0514
0.6,0.409930739675793,150,"CONVERGED",1071.162,143.4,7976.1,127595.2,0.000513812674964916,9.4614978764066e-05,0.516004591875,0.000329919430983391,0.383186645,0.0003223704192965,0.100808763125,0.132817946875,1.34661423775612,1.3063207924942,0.5664089734375,0.327385187604167,0.000297536258291867,0.282210558541667,0.000285063410112865,0.188619404270833,0.000178717545379728,0.100976086458333,0.000143183834567439,328,0.86059973580217,0.862018659179884,0.860334105904334,0.86059973580217,0.8642,0.8622,0.8623,0.8642,0.0515,0.0504,0.0504,0.0515
0.8,0.590651180147518,150,"CONVERGED",1061.034,143.4,7976.1,127595.2,0.000408133229636428,9.79750736024648e-05,0.511467522708333,0.000331442171644715,0.364779604479167,0.000318395360637238,0.1237528728125,0.146687918229167,1.40212752146219,1.34380837061337,0.573343959114583,0.327385187604167,0.000297536258291867,0.282210558541667,0.000285063410112865,0.184082335104167,0.00017183074688707,0.0825690459375,0.00012460228060568,328,0.919035325974001,0.918507826849561,0.918129157820011,0.919035325974,0.9229,0.9214,0.9215,0.9229,0.0509,0.0506,0.0506,0.0509
