"N_sp","rho","Observed_Tau","B_final","MC_Status","MC_Elapsed_Sec","MC_Master_Memory_Max_MB","MC_Worker_Memory_Max_MB","MC_Worker_Memory_Sum_Max_MB","MC_Max_SE_Tau","MC_Max_SE_Xi","Overall_Win_Prob","SE_Overall_Win_Prob","Overall_Loss_Prob","SE_Overall_Loss_Prob","Overall_Tie_Prob","Overall_Net_Benefit","Overall_Win_Ratio","Overall_Win_Odds","Overall_DOOR","Marginal_Win_Prob_E1","SE_Marginal_Win_Prob_E1","Marginal_Loss_Prob_E1","SE_Marginal_Loss_Prob_E1","Conditional_Win_Prob_E2","SE_Conditional_Win_Prob_E2","Conditional_Loss_Prob_E2","SE_Conditional_Loss_Prob_E2","Fixed_SS_from_WR_at_rho0","Theo_Power_NB","Theo_Power_WR","Theo_Power_WO","Theo_Power_DOOR","Emp_Power_NB","Emp_Power_WR","Emp_Power_WO","Emp_Power_DOOR","Type_I_Error_NB","Type_I_Error_WR","Type_I_Error_WO","Type_I_Error_DOOR","Null_Win_Prob","SE_Null_Win_Prob","Null_Loss_Prob","SE_Null_Loss_Prob","Null_Tie_Prob","Null_Win_Ratio","Xi_H0_xi.ww10","Xi_H0_xi.wl10","Xi_H0_xi.ll10","Xi_H0_xi.ww01","Xi_H0_xi.wl01","Xi_H0_xi.ll01","Xi_H0_xi.ww11","Xi_H0_xi.wl11","Xi_H0_xi.ll11","Xi_HA_xi.ww10","Xi_HA_xi.wl10","Xi_HA_xi.ll10","Xi_HA_xi.ww01","Xi_HA_xi.wl01","Xi_HA_xi.ll01","Xi_HA_xi.ww11","Xi_HA_xi.wl11","Xi_HA_xi.ll11"
2000,0,0.000917398808026656,1400,"CONVERGED",384.647,180.2,830.5,16216.9,0.000489259573990548,8.86424797890423e-05,0.461058016071429,0.00025625901552771,0.309596468035715,0.000233233479438578,0.229345515892856,0.151461548035714,1.48922246754521,1.35699395280224,0.575730774017857,0.279952090714285,0.000237394068576093,0.180033519285715,0.000192990944568762,0.181105925357143,0.000141194167737015,0.12956294875,0.000122015772444037,239,0.860745705566166,0.85143019979896,0.860367040570427,0.860745705566165,0.8591,0.8564,0.8565,0.8591,0.0524,0.0509,0.051,0.0524,0.376033880892857,0.000242564044149412,0.375544528214286,0.000241256888447811,0.248421590892857,1.00130304835194,0.0957990298549931,-0.0706764483967848,0.0597547978106133,0.0598330608004658,-0.0706988411583442,0.0957615110509835,0.234550087909109,-0.141142796610802,0.234429406906769,0.100553617166054,-0.0710854158812596,0.0559626393795421,0.0673155060762229,-0.0698347905672632,0.0806413712904976,0.248391651400135,-0.142663485809974,0.213670392415078
2000,0.2,0.127163215540485,1300,"CONVERGED",358.33,145.4,830.9,16210.9,0.000499206968723686,9.11613264103967e-05,0.455708479038461,0.000265122474358605,0.3119266125,0.000242924403922682,0.232364908461538,0.143781866538461,1.46094773827116,1.33585335539946,0.57189093326923,0.279971887884615,0.000245489410787845,0.179973810961539,0.000200668471975943,0.175736591153846,0.000143947355996744,0.131952801538461,0.000126571652790847,239,0.823874147137206,0.81383802801864,0.824025037555584,0.823874147137206,0.8222,0.8188,0.8188,0.8222,0.0524,0.0504,0.0507,0.0524,0.374907323846154,0.000251064295541929,0.374224214038462,0.00025105821104718,0.250868462115384,1.00182540247816,0.0958024090726549,-0.0704763094805019,0.0595395900445035,0.0596305487705809,-0.0704937292212375,0.0957293372454116,0.234269942141305,-0.140224720763066,0.234098575403048,0.1008416128571,-0.0714063591179779,0.0564698797057874,0.0668118577433888,-0.0696409733220029,0.0808313009471773,0.247946954556507,-0.142069251004787,0.214551743980713
2000,0.4,0.25560441826571,1150,"CONVERGED",318.758,143.2,803.9,16003.9,0.000480295322510767,9.77701829963752e-05,0.447889341304348,0.000283470835493474,0.311449969782609,0.000259847384105477,0.240660688913044,0.136439371521739,1.43807797321982,1.31599257081039,0.56821968576087,0.279811425,0.000263808506929893,0.180103164130435,0.000215236515909444,0.168077916304348,0.000148586367643192,0.131346805652174,0.000132203352108588,239,0.785330506837041,0.774655470090105,0.785990585940982,0.785330506837041,0.7863,0.7821,0.7825,0.7863,0.0517,0.0496,0.05,0.0517,0.371010734565217,0.000267749019443047,0.370291768478261,0.000268406167099565,0.258697496956521,1.0019416204954,0.095605844509366,-0.0698022036680935,0.0589430208594676,0.0590883417745201,-0.0698751571567943,0.0955944158317363,0.233279398124108,-0.137306892823106,0.233092998566256,0.100978357588437,-0.0711351489904425,0.0563357822498316,0.0662366159052046,-0.0691736502774992,0.08083379624161,0.247192150534258,-0.139416183640376,0.214371304863203
2000,0.6,0.389523225106114,1150,"CONVERGED",318.73,143.2,805.3,15984.6,0.000412605115919856,9.89485023717459e-05,0.436448281739131,0.00028138501426961,0.307268148260869,0.000257271276028381,0.256283570000001,0.129180133478262,1.42041498349054,1.29668623430524,0.564590066739131,0.279811425,0.000263808506929893,0.180103164130435,0.000215236515909444,0.156636856739131,0.000143428682781288,0.127164984130435,0.000128462128291017,239,0.745524163087283,0.734320793006444,0.7466364919856,0.745524163087284,0.7463,0.7425,0.7428,0.7463,0.0541,0.0521,0.0523,0.0541,0.363436324565217,0.0002653748956347,0.362738168913043,0.000267758524458788,0.27382550652174,1.00192468207651,0.0950019242843114,-0.0685457999231227,0.0580814505986405,0.0582180610244206,-0.068607784270079,0.0949750357266393,0.23126944556506,-0.131758346731419,0.23107681259975,0.100888088293767,-0.0702197149453114,0.0556650904399425,0.0655168970668492,-0.0681664772384145,0.0802762092895848,0.245870204128423,-0.134029748543089,0.212778382727826
2000,0.8,0.532909367298444,1200,"CONVERGED",331.379,143.2,809.2,16014.2,0.000294459894430307,9.9236371960098e-05,0.418423307708333,0.00027065056177036,0.296857532291666,0.000244812864339738,0.28471916,0.121565775416667,1.40950881211674,1.27677832218873,0.560782887708333,0.279886234166666,0.000257097557930995,0.180069150833334,0.000209322082984795,0.138537073541667,0.000131956099377648,0.116788381458333,0.00011853672563469,239,0.704385906484245,0.693132539822243,0.705865014349669,0.704385906484244,0.7066,0.7034,0.7036,0.7066,0.0546,0.0536,0.0537,0.0546,0.349639051666667,0.000254261342081173,0.349109136875,0.00025993486916067,0.301251811458333,1.00151790582283,0.09290296106206,-0.0663096620829743,0.0572989967166471,0.0574023309478362,-0.0663424623005833,0.0928596366920515,0.227314071269038,-0.121991491405135,0.227150935628082,0.0996616596695768,-0.0681846544686856,0.0544949461053635,0.0650064703980658,-0.0662985457243133,0.0783374329095989,0.243257414454573,-0.124139641022379,0.208661277740452
