"rho","Observed_Tau","B_final","MC_Status","MC_Elapsed_Sec","MC_Master_Memory_Max_MB","MC_Worker_Memory_Max_MB","MC_Worker_Memory_Sum_Max_MB","MC_Max_SE_Tau","MC_Max_SE_Xi","Overall_Win_Prob","SE_Overall_Win_Prob","Overall_Loss_Prob","SE_Overall_Loss_Prob","Overall_Tie_Prob","Overall_Net_Benefit","Overall_Win_Ratio","Overall_Win_Odds","Overall_DOOR","Marginal_Win_Prob_E1","SE_Marginal_Win_Prob_E1","Marginal_Loss_Prob_E1","SE_Marginal_Loss_Prob_E1","Conditional_Win_Prob_E2","SE_Conditional_Win_Prob_E2","Conditional_Loss_Prob_E2","SE_Conditional_Loss_Prob_E2","Fixed_SS_from_WR_at_rho0","Theo_Power_NB","Theo_Power_WR","Theo_Power_WO","Theo_Power_DOOR","Emp_Power_NB","Emp_Power_WR","Emp_Power_WO","Emp_Power_DOOR","Type_I_Error_NB","Type_I_Error_WR","Type_I_Error_WO","Type_I_Error_DOOR"
0,NA,200,"CONVERGED",1345.649,180.3,8215,156974.8,0.000345568981738678,9.48809863929194e-05,0.512330220390625,0.000322667374836948,0.358487096015625,0.000312309817473042,0.129182683593751,0.153843124375,1.42914550086984,1.36362790117699,0.5769215621875,0.271344606796875,0.000343724814250229,0.1805140175,0.000287456320869176,0.24098561359375,0.000263109901956461,0.177973078515625,0.000210631059114192,237,0.842587300411319,0.850265852045257,0.842503748951312,0.84258730041132,0.8503,0.8467,0.847,0.8503,0.0532,0.0518,0.0521,0.0532
0.2,NA,200,"CONVERGED",1351.714,145,8215,156975,0.000343724814250229,9.48484132010312e-05,0.508031267734375,0.000316745139040692,0.36128516375,0.000307872104906239,0.130683568515625,0.146746103984375,1.40617805187793,1.34396820142193,0.573373051992187,0.271344606796875,0.000343724814250229,0.1805140175,0.000287456320869176,0.2366866609375,0.00026215449187962,0.18077114625,0.000210813884375877,237,0.806919474039411,0.816430594446132,0.807380468703606,0.806919474039411,0.8157,0.8115,0.8119,0.8157,0.0542,0.0525,0.0525,0.0542
0.4,NA,200,"CONVERGED",1347.665,142.2,8215,156975,0.000343724814250229,9.54787702319282e-05,0.50282617265625,0.000310440500699912,0.362432958359375,0.000302567173125009,0.134740868984376,0.140393214296875,1.3873632655606,1.32664519785529,0.570196607148437,0.271344606796875,0.000343724814250229,0.1805140175,0.000287456320869176,0.231481565859375,0.000260474913648087,0.181918940859375,0.000210067505338563,237,0.77188472217023,0.783088172507016,0.772834458074301,0.771884722170229,0.7819,0.7767,0.7769,0.7819,0.0551,0.053,0.0533,0.0551
0.6,NA,200,"CONVERGED",1333.926,142.2,8215,156975,0.000343724814250229,9.72262494938275e-05,0.496168118828125,0.000303425678944289,0.361637061953125,0.000296013808495259,0.14219481921875,0.134531056875,1.37200572349644,1.31088592593338,0.5672655284375,0.271344606796875,0.000343724814250229,0.1805140175,0.000287456320869176,0.22482351203125,0.000257576575459736,0.181123044453125,0.000208101299063086,237,0.737644345142445,0.750401267589287,0.739014707712504,0.737644345142445,0.7504,0.7454,0.7459,0.7504,0.0551,0.0533,0.0534,0.0551
0.8,NA,250,"CONVERGED",1714.879,142.3,8215,156984,0.000301325925295169,8.90378604611363e-05,0.4867093053125,0.000269781695622693,0.358116150375,0.000262568965536389,0.1551745443125,0.1285931549375,1.35908225530416,1.29513918938352,0.56429657746875,0.271165977875,0.000301325925295169,0.180524202,0.000260676152628173,0.2155433274375,0.000220323315236301,0.177591948375,0.000187215384946325,237,0.702141651770217,0.716247295483322,0.703879549023014,0.702141651770217,0.7134,0.7089,0.7089,0.7134,0.0561,0.0541,0.0543,0.0561
